Order_ID,Order_Date,Ship_Date,Region,City,Customer_Segment,Sales_Channel,Product_ID,Quantity,Discount,Sales,Shipping_Cost
ORD-100001,2025-06-24,2025-06-29,West,Cardiff,Home Office,B2B Sales,P-009,4,0.05,491.6,9.5
ORD-100002,2025-05-10,2025-05-14,West,Birmingham,Home Office,Retail Store,P-003,3,0,334.36,11.4
ORD-100003,2025-07-19,2025-07-24,East,Norwich,Small Business,Online,P-014,5,0.15,102.14,4.05
ORD-100004,2025-02-23,2025-02-26,West,Birmingham,Corporate,Online,P-010,9,0,51.08,5.13
ORD-100005,2024-10-28,2024-11-03,South,Bristol,Corporate,Online,P-002,7,0,1584.26,20.6
ORD-100006,2025-03-15,2025-03-16,West,Liverpool,Small Business,Retail Store,P-004,4,0,417.15,8.22
ORD-100007,2024-05-16,2024-05-21,West,Cardiff,Corporate,B2B Sales,P-008,1,0,193.72,3.45
ORD-100008,2025-09-10,2025-09-12,West,Liverpool,Small Business,Online,P-015,11,0.2,55.97,5.67
ORD-100009,2025-03-15,2025-03-19,East,Peterborough,Corporate,Online,P-003,4,0.15,357.37,8.22
ORD-100010,2024-10-30,2024-11-03,South,Brighton,Corporate,Online,P-008,4,0.2,705.26,9.5
ORD-100011,2024-02-03,2024-02-04,North,Newcastle,Home Office,B2B Sales,P-015,4,0,22.92,3.78
ORD-100012,2025-12-08,2025-12-14,North,Manchester,Home Office,B2B Sales,P-011,5,0.1,89.84,4.05
ORD-100013,2024-12-21,2024-12-24,North,Newcastle,Small Business,Online,P-007,3,0.25,177.03,4.95
ORD-100014,2025-08-28,2025-09-02,North,Manchester,Home Office,B2B Sales,P-010,13,0,73.23,6.21
ORD-100015,2024-08-31,2024-09-05,West,Cardiff,Corporate,B2B Sales,P-010,9,0,51.12,5.13
ORD-100016,2024-03-28,2024-04-02,North,Manchester,Corporate,Retail Store,P-007,3,0,159.77,8.25
ORD-100017,2024-11-06,2024-11-10,South,Brighton,Small Business,Online,P-015,5,0.1,38.8,6.75
ORD-100018,2025-07-01,2025-07-02,East,Cambridge,Corporate,Retail Store,P-006,2,0.1,180.98,4.2
ORD-100019,2025-05-10,2025-05-15,South,London,Home Office,Online,P-013,8,0,100.68,4.86
ORD-100020,2024-02-04,2024-02-05,North,Newcastle,Home Office,B2B Sales,P-001,3,0,818.4,6.84
ORD-100021,2024-12-11,2024-12-16,West,Birmingham,Corporate,Online,P-013,5,0.15,77.35,6.75
ORD-100022,2025-06-18,2025-06-22,North,Newcastle,Small Business,Online,P-005,1,0,54.36,3.45
ORD-100023,2024-08-20,2024-08-21,East,Peterborough,Small Business,B2B Sales,P-004,2,0,215.64,9.1
ORD-100024,2024-11-09,2024-11-15,North,Leeds,Home Office,Online,P-009,1,0.2,131.57,3.45
ORD-100025,2025-04-20,2025-04-22,West,Liverpool,Corporate,B2B Sales,P-013,7,0,87.34,4.59
ORD-100026,2025-06-22,2025-06-28,South,Brighton,Home Office,Online,P-011,7,0,105.51,7.65
ORD-100027,2025-08-07,2025-08-13,North,Newcastle,Home Office,Online,P-013,11,0.05,119.24,9.45
ORD-100028,2024-07-09,2024-07-15,South,Bristol,Home Office,Retail Store,P-003,2,0,208.22,9.1
ORD-100029,2025-03-20,2025-03-26,East,Norwich,Small Business,Retail Store,P-015,13,0,72.32,10.35
ORD-100030,2024-07-19,2024-07-24,West,Cardiff,Corporate,Online,P-007,2,0,100.74,7
ORD-100031,2024-10-17,2024-10-19,West,Birmingham,Corporate,B2B Sales,P-006,4,0,540.23,5.7
ORD-100032,2024-05-01,2024-05-06,East,Cambridge,Home Office,B2B Sales,P-001,2,0,563.76,9.1
ORD-100033,2025-08-06,2025-08-12,North,Manchester,Home Office,Retail Store,P-006,2,0,212.29,4.2
ORD-100034,2025-09-26,2025-09-29,North,Newcastle,Home Office,Online,P-013,6,0,82.26,4.32
ORD-100035,2025-06-04,2025-06-06,South,Brighton,Small Business,Retail Store,P-007,2,0.15,103.72,4.2
ORD-100036,2024-06-21,2024-06-23,East,Peterborough,Corporate,B2B Sales,P-003,2,0.15,194.03,9.1
ORD-100037,2024-01-19,2024-01-25,East,Norwich,Home Office,Online,P-005,3,0,139.54,4.95
ORD-100038,2025-08-01,2025-08-03,East,Norwich,Home Office,Online,P-002,1,0,183.76,4.08
ORD-100039,2025-05-31,2025-06-02,West,Liverpool,Home Office,B2B Sales,P-012,14,0,125.02,6.48
ORD-100040,2025-09-14,2025-09-20,North,Leeds,Small Business,B2B Sales,P-011,12,0.25,138.78,9.9
ORD-100041,2025-07-27,2025-08-01,West,Birmingham,Home Office,B2B Sales,P-012,16,0,124.22,7.02
ORD-100042,2024-05-14,2024-05-20,West,Birmingham,Corporate,Retail Store,P-011,12,0.1,168.75,9.9
ORD-100043,2025-05-27,2025-06-02,West,Cardiff,Small Business,Online,P-008,2,0,403.52,4.2
ORD-100044,2025-04-29,2025-05-05,West,Cardiff,Corporate,Retail Store,P-012,5,0,39.51,4.05
ORD-100045,2025-11-21,2025-11-22,South,London,Home Office,B2B Sales,P-003,2,0,289.05,9.1
ORD-100046,2025-07-03,2025-07-07,South,London,Small Business,Retail Store,P-005,3,0.1,134.59,4.95
ORD-100047,2024-08-01,2024-08-04,North,Manchester,Corporate,B2B Sales,P-005,4,0,189.62,9.5
ORD-100048,2024-12-25,2024-12-29,East,Peterborough,Corporate,Online,P-013,11,0.15,167.62,5.67
ORD-100049,2025-04-17,2025-04-20,East,Cambridge,Corporate,Retail Store,P-009,3,0,360.26,4.95
ORD-100050,2025-01-12,2025-01-14,North,Manchester,Home Office,B2B Sales,P-015,13,0,69.59,10.35
ORD-100051,2024-11-15,2024-11-19,West,Birmingham,Corporate,B2B Sales,P-001,1,0.1,350.29,4.08
ORD-100052,2025-08-03,2025-08-04,East,Cambridge,Home Office,B2B Sales,P-007,1,0.05,48.28,3.45
ORD-100053,2024-05-05,2024-05-08,North,Leeds,Small Business,Retail Store,P-004,1,0,108.96,6.8
ORD-100054,2024-04-27,2024-04-30,West,Cardiff,Small Business,Retail Store,P-004,4,0.25,333.46,13.7
ORD-100055,2025-12-01,2025-12-03,North,Leeds,Small Business,Retail Store,P-009,4,0,688.1,5.7
ORD-100056,2025-12-29,2026-01-02,South,Bristol,Corporate,B2B Sales,P-010,10,0,90.14,5.4
ORD-100057,2024-07-19,2024-07-22,East,Norwich,Corporate,Retail Store,P-001,3,0.2,642.79,11.4
ORD-100058,2024-03-31,2024-04-01,West,Birmingham,Home Office,Online,P-007,2,0.05,103.07,7
ORD-100059,2025-04-10,2025-04-15,East,Peterborough,Corporate,Online,P-011,18,0.2,218.45,12.6
ORD-100060,2024-07-10,2024-07-13,West,Birmingham,Home Office,Online,P-006,4,0.1,388.28,9.5
ORD-100061,2024-03-30,2024-04-01,West,Birmingham,Corporate,Online,P-009,2,0.1,205.52,4.2
ORD-100062,2025-10-17,2025-10-20,North,Leeds,Small Business,Retail Store,P-007,2,0,137.1,4.2
ORD-100063,2024-08-01,2024-08-05,East,Norwich,Small Business,Online,P-007,2,0,102.53,4.2
ORD-100064,2024-04-28,2024-04-30,West,Cardiff,Corporate,Retail Store,P-005,3,0,151.93,4.95
ORD-100065,2024-04-20,2024-04-25,West,Cardiff,Small Business,Online,P-001,2,0.2,445.61,5.46
ORD-100066,2024-12-20,2024-12-24,North,Newcastle,Corporate,B2B Sales,P-009,1,0,189.61,5.75
